number,name,image,theme,subtheme,year,rating,owners,want_it
10260,Downtown Diner,https://images.brickset.com/sets/small/10260-1.jpg,Advanced Models,Modular Buildings,2018,4.3,4897,4290
10261,Roller Coaster,https://images.brickset.com/sets/small/10261-1.jpg,Advanced Models,Fairground,2018,5.0,1656,3613
10262,James Bond Aston Martin DB5,https://images.brickset.com/sets/small/10262-1.jpg,Advanced Models,Vehicles,2018,5.0,1338,1900
10263,Winter Village Fire Station,https://images.brickset.com/sets/small/10263-1.jpg,Advanced Models,Winter Village,2018,,559,2149
10268,Vestas Wind Turbine,https://images.brickset.com/sets/small/10268-1.jpg,Advanced Models,,2018,,,
10401,Rainbow Fun,https://images.brickset.com/sets/small/10401-1.jpg,Classic,Building Bigger Thinking,2018,4.0,1778,278
10402,Fun Future,https://images.brickset.com/sets/small/10402-1.jpg,Classic,Building Bigger Thinking,2018,5.0,1431,338
10403,World Fun,https://images.brickset.com/sets/small/10403-1.jpg,Classic,Building Bigger Thinking,2018,,1055,382
10404,Ocean's Bottom,https://images.brickset.com/sets/small/10404-1.jpg,Classic,Building Bigger Thinking,2018,5.0,927,417
10405,Mission to Mars,https://images.brickset.com/sets/small/10405-1.jpg,Classic,Building Bigger Thinking,2018,5.0,499,506
10712,Bricks and Gears,https://images.brickset.com/sets/small/10712-1.jpg,Classic,,2018,5.0,440,234
10713,Creative Suitcase,https://images.brickset.com/sets/small/10713-1.jpg,Classic,,2018,,305,166
10714,Blue Baseplate,https://images.brickset.com/sets/small/10714-1.jpg,Classic,,2018,,1065,473
10715,Bricks on a Roll,https://images.brickset.com/sets/small/10715-1.jpg,Classic,,2018,,763,245
10717,Extra Large Brick Box,https://images.brickset.com/sets/small/10717-1.jpg,Classic,,2018,,169,211
10748,Emma's Pet Party,https://images.brickset.com/sets/small/10748-1.jpg,Juniors,Friends,2018,,201,101
10749,Mia's Organic Food Market,https://images.brickset.com/sets/small/10749-1.jpg,Juniors,Friends,2018,,176,132
10750,Road Repair Truck,https://images.brickset.com/sets/small/10750-1.jpg,Juniors,City,2018,,527,247
10751,Mountain Police Chase,https://images.brickset.com/sets/small/10751-1.jpg,Juniors,City,2018,,195,161
